category,german,english,image_url,image_local
German Action Verbs Flashcards,Basketball spielen,play basketball,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/26f9-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/26f9-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,ein Selfie machen,take a selfie,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f933-1f3ff.svg,images/German Action Verbs Flashcards/1f933-1f3ff.svg
German Action Verbs Flashcards,fliegen,fly,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f426.svg,images/German Action Verbs Flashcards/1f426.svg
German Action Verbs Flashcards,gehen,go,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6b6-1f3fc-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f6b6-1f3fc-200d-2640-fe0f.svg
German Action Verbs Flashcards,jonglieren,juggle,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f939-1f3fb-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f939-1f3fb-200d-2640-fe0f.svg
German Action Verbs Flashcards,klettern,climb,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9d7-1f3ff-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f9d7-1f3ff-200d-2640-fe0f.svg
German Action Verbs Flashcards,lachen,laugh,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f923.svg,images/German Action Verbs Flashcards/1f923.svg
German Action Verbs Flashcards,meditieren,meditate,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9d8-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f9d8-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,Rad fahren,ride a bike,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6b4-1f3ff.svg,images/German Action Verbs Flashcards/1f6b4-1f3ff.svg
German Action Verbs Flashcards,Rad schlagen,Do cartwheels,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f938-1f3fc-200d-2642-fe0f.svg,images/German Action Verbs Flashcards/1f938-1f3fc-200d-2642-fe0f.svg
German Action Verbs Flashcards,rennen,run,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f3c3-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f3c3-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,schlafen,sleep,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6cc-1f3fd.svg,images/German Action Verbs Flashcards/1f6cc-1f3fd.svg
